date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:58:20	26/26	---M--	200	added ('OK')	text/plain	etag:%221a-5a2f7428ad967%22	http://cpbild.co/robots.txt		(from )
20:58:21	37280/37280	---MC-	200	added ('OK')	text/html	date:Tue,%2019%20Jan%202021%2018:58:20%20GMT	http://cpbild.co/049cc9b	C:/My%20Web%20Sites/wonder%20womn/cpbild.co/049cc9b.html	(from )
20:58:28	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/wonder%20womn/www.google-analytics.com/analytics.js	(from http://cpbild.co/049cc9b)
20:58:29	966/966	---M--	200	added ('OK')	image/png	etag:%227a5d97da616d26c244d5eba660580823%22	http://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/favicon16.png	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/favicon16.png	(from http://cpbild.co/049cc9b)
20:58:29	58216/58216	---M-Z	200	added ('OK')	application/javascript	etag:%22acc4b6b75bee9ca9debfec575a79e02e%22	https://browser.sentry-cdn.com/5.20.1/bundle.min.js	C:/My%20Web%20Sites/wonder%20womn/browser.sentry-cdn.com/5.20.1/bundle.min.js	(from http://cpbild.co/049cc9b)
20:58:30	170735/170735	---M--	200	added ('OK')	text/css	etag:%22f4bb99bed10c599a03cdcbfb5760ac6c%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/style.min.css	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/style.min.css	(from http://cpbild.co/049cc9b)
20:58:31	3652/3652	---M--	200	added ('OK')	text/css	etag:%22e4777b6494e95adcd3691cabd5b5cbfb%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/nouislider.min.css	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/nouislider.min.css	(from http://cpbild.co/049cc9b)
20:58:31	29063/29063	---M--	200	added ('OK')	text/css	etag:%224083f5d376eb849a458cc790b53ba080%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/fa/css/font-awesome.min.css	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/fa/css/font-awesome.min.css	(from http://cpbild.co/049cc9b)
20:58:31	12535/12535	---M--	200	added ('OK')	text/css	etag:%22dac15207ee940e874c941c84407d4c93%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/sweetAlert.css	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/sweetAlert.css	(from http://cpbild.co/049cc9b)
20:58:32	1340/1340	---M--	200	added ('OK')	text/css	etag:%220a473f532eca1486e249e190e0a15427%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/facebook-comments.css	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/facebook-comments.css	(from http://cpbild.co/049cc9b)
20:58:32	6592/6592	---M--	200	added ('OK')	text/css	etag:%2290975bb431b0bc97e177770be23ecf7c%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/content_lockers/css_front.css	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/assets/content_lockers/css_front.css	(from http://cpbild.co/049cc9b)
20:58:34	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222b157f6d072d7e559f7cf4823f0f8820%22	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/wonder%20womn/connect.facebook.net/en_US/sdk.js	(from http://cpbild.co/049cc9b)
20:58:37	3528/3528	---M--	200	added ('OK')	image/jpg	etag:%2240d9db5d6c326e044b2d0232e08a0a92%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289640b4fd4b01bad9b47a79f53815f067538.jpg	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/api_uploads/14695289640b4fd4b01bad9b47a79f53815f067538.jpg	(from http://cpbild.co/049cc9b)
20:58:37	189056/189056	---M--	200	added ('OK')	image/png	etag:%22649a31983543543c097cc49062d07919%22	https://d13pxqgp3ixdbh.cloudfront.net/uploads/161063949692b89bd76c2b4b524bc65547d69db956.png	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/uploads/161063949692b89bd76c2b4b524bc65547d69db956.png	(from http://cpbild.co/049cc9b)
20:58:38	2277457/2277457	---M--	200	added ('OK')	image/png	etag:%221f6d4e62a89c42914db40994fcfcba0b%22	https://d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/thumbnail.png	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/assets/landing_pages/thumbnail.png	(from http://cpbild.co/049cc9b)
20:58:38	289/289	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Jan%202021%2016:24:18%20GMT	https://www.facebook.com/images/ufi/fbfeed/like.png	C:/My%20Web%20Sites/wonder%20womn/www.facebook.com/images/ufi/fbfeed/like.png	(from http://cpbild.co/049cc9b)
20:58:38	3985/3985	---M--	200	added ('OK')	image/jpg	etag:%22f1a04c66143005a5c473bdfbe3dc644e%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528964ca399c687c1e6b531460d5a28288799f.jpg	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528964ca399c687c1e6b531460d5a28288799f.jpg	(from http://cpbild.co/049cc9b)
20:58:38	4252/4252	---M--	200	added ('OK')	image/jpg	etag:%22781fac7dca612c6485f979c3e1afb1a5%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528961583b2dbf531b948eae7a4d8f97c97c7c.jpg	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528961583b2dbf531b948eae7a4d8f97c97c7c.jpg	(from http://cpbild.co/049cc9b)
20:58:39	3718/3718	---M--	200	added ('OK')	image/jpg	etag:%220eb4ae52eacc725b00992b0b5c63a985%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/146952895535e152e41f29c290f51c3044fb62a025.jpg	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/api_uploads/146952895535e152e41f29c290f51c3044fb62a025.jpg	(from http://cpbild.co/049cc9b)
20:58:39	3208/3208	---M--	200	added ('OK')	image/jpg	etag:%228e5c0149fce99aea8299048dcec37245%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528967c8b24744e210bac76a5a7fffb7beade1.jpg	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528967c8b24744e210bac76a5a7fffb7beade1.jpg	(from http://cpbild.co/049cc9b)
20:58:39	4223/4223	---M--	200	added ('OK')	image/jpg	etag:%22adaa1d37e12193ca7c9456544e15a1be%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955b3ab008f786de5e84e8b823e95880d37.jpg	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955b3ab008f786de5e84e8b823e95880d37.jpg	(from http://cpbild.co/049cc9b)
20:58:40	4294/4294	---M--	200	added ('OK')	image/jpg	etag:%22f3345dbbdb5a24e3470ff60fd8813382%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955eb9b970fb68f5193029245548fa365fb.jpg	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528955eb9b970fb68f5193029245548fa365fb.jpg	(from http://cpbild.co/049cc9b)
20:58:40	3588/3588	---M--	200	added ('OK')	image/jpg	etag:%2236378899155558a7b12ed37b016355ee%22	https://d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528965f7210a3834f50b9cdf7c19955ab9eac1.jpg	C:/My%20Web%20Sites/wonder%20womn/d13pxqgp3ixdbh.cloudfront.net/api_uploads/1469528965f7210a3834f50b9cdf7c19955ab9eac1.jpg	(from http://cpbild.co/049cc9b)
20:58:40	236/236	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Jan%202021%2018:41:12%20GMT	https://www.facebook.com/images/like/icons/fav.png	C:/My%20Web%20Sites/wonder%20womn/www.facebook.com/images/like/icons/fav.png	(from http://cpbild.co/049cc9b)
